Node, Nr links, Nr adjacent node, Tot loss chance, Timestamp last msg, Packets recived, Packets lost, Packet loss %, Peak Buffer size
0,3,3,12.766,340925,13637.0,0.0,0.000,0
1,3,3,12.564,341026,13530.9,106.1,0.778,8
2,3,3,12.579,341121,13496.5,140.5,1.030,9
3,3,3,12.669,341089,13497.1,139.9,1.026,9
4,3,3,12.606,341041,13521.7,115.3,0.845,8
5,3,3,12.691,341101,13499.0,138.0,1.012,9
6,3,3,12.750,341143,13482.8,154.2,1.131,9
7,3,3,12.749,341139,13482.9,154.1,1.130,8
8,3,3,12.783,341185,13469.8,167.2,1.226,9
9,3,3,12.701,341191,13466.0,171.0,1.254,9
10,3,3,12.800,341187,13470.2,166.9,1.224,8
11,3,3,12.840,341215,13460.1,176.9,1.297,7
12,3,3,12.696,341185,13465.8,171.2,1.256,9
13,3,3,12.618,341102,13496.9,140.1,1.027,9
14,3,3,12.801,341234,13401.3,235.7,1.728,8
15,3,3,12.890,341233,13422.1,214.9,1.576,8
16,3,3,12.803,341227,13401.6,235.4,1.726,8
17,3,3,12.580,341021,13533.2,103.8,0.761,8
18,2,2,11.458,341255,13231.3,405.7,2.975,7
19,2,2,11.420,341057,13362.0,275.0,2.017,7
