Node,Nr links,Nr adjacent node,Tot loss chance,Timestamp last msg,Packets lost,Packet loss %,Peak Buffer size
0,3,3,10.051,909724.6,0,0,0
1,3,3,10.051,909679.6,0,0,3
2,3,3,10.051,909703,0,0,3
3,3,3,10.051,909721.2,0,0,3
4,3,3,10.051,909701.8,0,0,3
5,3,3,10.051,909745.8,0,0,3
6,3,3,10.051,909767.8,0,0,3
7,3,3,10.051,909766.2,0,0,3
8,3,3,10.051,909772.8,0,0,4
9,3,3,10.051,909747.8,0,0,4
10,2,2,10.025,909811.2,0,0,3
11,3,3,10.051,909815,0,0,4
12,1,1,10.000,909881.8,0,0,0
13,2,2,10.025,909747.2,0,0,3
14,3,3,10.025,909858,0,0,4
15,3,3,10.051,909818.2,0,0,4
16,3,3,10.051,909795.6,0,0,4
17,3,3,10.051,909723.8,0,0,4
18,2,2,10.025,909841,0,0,3
19,2,2,10.025,909725.4,0,0,3
